F41G3.12	G5EG68
K06H7.8	P34516
C09D4.3	O01733
R10D12.10	Q9XVK4
C53A5.4	O17693
Y69F12A.1	Q9N4Q0
M04F3.3	Q95Y99
C56C10.6	Q18882
R13H9.5	Q966G2
M05D6.1	Q21521
T19D12.5	Q22573
C34B2.3	O44950
C09B9.4	Q17853
T11F8.4	O44192
T05C12.1	Q22223
W09C3.1	Q3S1L3
K11C4.1	Q94277
T09B4.7	O02157
F56H11.6	Q20906
Y71F9AL.2	Q9N4H2
C05C12.1	Q17651
D2024.1	Q18976
C45G9.1	Q09503
ZK354.6	P91566
F26A1.4	Q19794
C04G2.2	Q17631
F32B6.10	Q9XVP6
C49C8.1	Q18707
W01B6.2	Q23103
C01G6.4	Q17573
C18B12.4	Q9XX98
Y92C3A.3	Q9BL23
F56F3.1	Q20898
C50F7.6	Q18750
F57H12.1	G5EFK4
B0336.2	Q10943
C17H12.9	O45080
T26C11.6	Q22811
F17A9.6	O16218
T26C11.7	Q22812
Y53C12C.1	O01996
C04F6.1	P06125
F59D8.2	P18947
K09F5.2	P55155
C34E10.6	P46561
Y54G11A.11	Q9XVZ8
T12D8.2	O45781
K10H10.1	O45678
F48E8.5	Q09543
Y40G12A.1	Q965V9
F46E10.8	Q9UAV3
ZK973.6	Q9N4M4
Y38F2AL.2	Q9N423
Y48B6A.2	Q9U2A8
Y32F6B.2	G5EC02
Y26E6A.3	Q7YWR7
B0250.5	Q9XTI0
D2021.1	Q09519
C29F7.6	O17619
F23D12.5	Q19760
K07E8.7	O16686
C32E12.2	P91119
Y47G6A.29	Q8WTL7
Y47G6A.23	Q9N3R9
W08E3.1	P91918
F54C1.7	G5EF37
ZK673.7	Q09665
F12A10.5	Q09980
F43C9.2	Q20358
Y105E8A.1	Q9NF23
F23H11.3	O02642
C05G5.4	P53596
T02C12.1	G5ECZ0
F29D10.4	Q19901
C27B7.8	Q18246
ZK792.6	P22981
C25D7.7	O17599
Y73F8A.27	Q9NA32
T06D8.5	Q22251
F43C1.5	Q09394
E01G6.3	G5EC03
T02B5.1	O01302
ZC376.1	Q23268
C23H4.3	Q93254
C23H4.7	Q8MQC8
ZC376.3	G5EDJ7
C01B10.10	Q17542
C23H4.2	Q93251
C17H12.4	O45083
T02B5.3	P92016
T22D1.11	Q9GZG9
Y75B8A.3	Q9XW75
C42D4.2	Q18573
W02B12.4	Q23123
ZK994.1	O44089
K06A1.6	Q10024
K03H1.10	G5EBG3
F40F12.7	Q7JMS5
C49F5.5	O17681
C29F9.5	Q9TZB8
C29F9.6	Q9TZB9
C24G6.4	Q17370
F47B3.1	O01557
F47B3.6	O01555
Y39B6A.30	Q8MYN1
Y39B6A.18	Q8MYN9
Y113G7C.1	Q9XWA6
Y80D3A.8	Q9U1Q9
F47B3.7	O01556
Y57G11A.5	O18219
Y111B2A.18	Q9NEW6
C35A5.8	Q18476
R05G9.1	Q966H0
ZC178.2	O17084
H43E16.1	Q9N5K0
F16F9.2	Q94185
ZK899.8a	Q8MLZ5
Y53G8AL.1	Q9N3H4
R148.7	O17270
B0379.7	Q9U3S6
C30C11.4	Q05036
C02F12.7	Q11102
Y55B1BR.3	Q95XW8
F14D7.2	Q19452
F54D5.8	Q20774
K09C4.5	Q21381
F22D3.6	G5EG87
B0393.5	Q17494
T03F6.3	Q9XVJ2
T14G10.6	Q22495
F59A2.6	G5EEK2
F53F10.5	O01576
T28F2.5	O01661
W10C8.1	O45009
H12D21.6	Q9XTW8
F53A9.9	P50439
C43E11.11	P91151
F56F10.4	G5EEI1
F46C8.5	P20271
ZC247.3	P20154
T09F3.2	G5EEG6
H06O01.2	O17909
Y54F10BM.2	G5EGT7
F32E10.2	Q19972
C50F2.2	P91176
F32E10.6	Q19973
ZC449.5	Q23330
C32E12.1	P91122
F10C2.3	G5EDY7
F15H10.7	Q19486
R03G8.3	Q21672
K03A11.4	Q21167
T07G12.3	O18062
R03G8.1	Q21671
M03F8.5	O16375
F07C3.3	Q19148
Y38A10A.2	Q9UAX6
H26D21.2	Q9TXR4
K08E3.4	Q9XUT0
F28B3.8	Q9BIB8
C15H9.9	Q18032
K11H12.7	P91372
T26A5.9	Q22799
Y73B6BL.43	Q65XS9
Y10G11A.3	Q7YTJ8
T19B10.11	G5EEH5
F46G10.6	Q18711
F40G9.11	Q9TZ70
F01F1.5	Q19086
C32F10.6	Q10902
T28F2.7	O01664
K07B1.3	O01883
F36F2.6	Q95QG8
F11E6.3	Q9U3J8
Y69A2AR.5	Q95XG9
F20H11.5	O01739
R12E2.12	O61791
Y39B6A.38	Q8MYM6
C37A2.2	O01505
C14B1.4	Q17963
Y53C12B.1	O18215
B0416.1	Q11069
T13G4.3	D3KZG3
F53B3.1	Q20709
Y6B3B.4	G5EGE8
C27D6.1	Q10030
T03F1.2	P91428
C33H5.19	Q95QS6
R186.1	Q22009
Y80D3A.9	Q9U1Q8
F28B3.1	Q1RS87
F28B3.4	A9D3J9
F47A4.2	Q20497
Y82E9BR.2	Q9BKR8
C32D5.5	Q09265
C13B4.2	Q17361
K09A9.4	Q93875
Y71A12B.9	Q9GRV2
F30A10.10	G5ECC7
F02A9.6	P13508
R107.8	P14585
K07D8.1	Q21281
Y46H3A.3	P06582
T27E4.8	P34696
T27E4.2	P34696
F38E11.1	Q20164
C14B9.1	P34328
Y46H3A.2	P06581
T27E4.9	P02513
F43D9.4	Q20363
F38E11.2	G5EE36
T27E4.3	P02513
F08H9.3	Q19227
Y59C2A.1	Q9TZC6
DY3.2	Q21443
W10G6.3	O02365
K05B2.3	P90900
F52E10.5	Q21065
F37B4.2	O45168
F25E2.4	Q19782
F58G6.3	Q21009
F31E8.4	Q19936
F01G12.1	Q19100
F58G6.7	Q95QD9
K12C11.6	A4V4W6
K12C11.7	A4V4W7
F37C12.12	Q20127
F53F1.3	P91998
F58G11.5	G5ED97
W07E6.4	G5ECL3
F32B6.1	O45436
Y22F5A.1	O62412
C54E10.5	O45315
T06C12.6	Q9XVJ1
K12H6.1	G4SCE4
C26B2.4	Q18190
C28D4.1	O17611
C29E6.5	Q18299
Y17D7B.1	O45910
T09D3.4	Q23038
T06C12.7	O45756
Y51A2B.3	O45954
H01A20.1	Q9XTJ4
F54D1.4	Q20765
F44C4.2	Q20389
C28D4.9	Q95QT4
Y94H6A.1	Q9N2W3
F36D3.2	O45460
C25E10.1	Q18155
F16B4.9	O44635
Y54F10AM.1	Q9BKZ8
T13F3.3	O18087
F16H11.5	Q19496
Y38F2AL.5	Q9N418
K09F6.9	Q8MXJ5
C35C5.1	G5EBL3
Y51H1A.5	Q9U266
F43G6.11	Q8I4I9
F56H1.5	O76373
F53F8.1	O62259
W02B8.2	Q9XVH4
B0285.8	P46558
W09D10.2	O18182
F35D2.3	Q20043
D1007.6	O01869
F53H8.2	P51485
C27A12.2	O01961
K03E6.6	Q21193
Y18D10A.20	Q9XW16
F35C8.6	Q20025
H23L24.5	Q9N5L4
ZK593.4	Q23541
Y39A1C.1	Q9XXE7
F20D1.10	Q9U3I4
T12D8.6	Q9XVI9
K04C1.4	Q21201
K08E3.10	Q69Z12
K03D10.3	Q9U3C3
VC5.4	Q9TYU5
C31E10.7	Q93315
W02D3.1	O01816
C25A1.5	Q9XVS0
Y37H9A.3	Q9U2M8
M28.8	Q21574
C41D11.9	Q95QZ5
Y66D12A.21	Q95PJ8
Y71H9A.3	Q22165
Y71H9A.2	Q9XWC6
F20B10.1	Q19617
K11D12.6	O44621
C10G8.3	Q94163
ZC196.2	O01630
F52F12.8	Q7YX19
B0285.4	P46554
K06A4.3	Q21253
C32E8.11	P91133
R07G3.1	Q05062
K03D3.10	Q94124
C35C5.4	G5EBV3
Y32F6B.3	O62422
Y92H12A.5	Q2AAB7
F57B10.14	Q8MXI1
W07E11.1	G5EF05
C25F6.3	Q18164
C55C2.1	O01830
R06A4.7	O17514
ZC328.2	O02050
F59E12.2	Q9GT24
Y25C1A.5	Q9TYL9
ZK507.6	P34638
W05G11.2	O61211
ZK678.3	Q94412
F08F1.9	O17384
Y43E12A.1	O45926
H31G24.4	Q9BLB5
ZC168.4	Q10653
F33A8.3	O62213
M01E11.5	P91398
Y39A1C.3	G5EDV3
F46F11.2	P91306
C32E8.3	P91127
T14G12.2	G5EEN8
F25D7.4	A9UJN7
T04A8.12	Q22141
Y11D7A.9	Q9XWR3
T23B12.5	O17000
Y38F1A.8	Q9XWM2
Y71H2AM.1	Q9BL28
B0414.2	G5EFQ5
Y110A7A.10	G5EDP9
B0244.2	G5EGJ5
F07C3.4	Q5DX34
ZK686.5	Q7Z142
C13B9.2	Q09235
C05D11.8	Q11187
F31C3.5	O62193
C44H4.4	G5EE16
T26A8.2	Q22804
H06O01.3	O17907
H41C03.1	O76636
ZK1058.3	Q27536
F35H8.7	Q20085
Y53C12A.1	O18209
F52D10.1	G5EGB9
F22G12.5a	G5EBE8
K04D7.1	Q21215
C49H3.11	P51403
F44E2.3	P34433
Y43F8C.4	Q9XWN2
C43H6.3	Q18587
Y102A5A.1	G5ED41
C08B11.8	Q09226
K08E7.2	Q9U3B7
F07H5.8	Q19182
Y73F8A.9	Q9NA38
Y73F8A.8	Q9NA61
F35A5.4	Q20000
T10E10.4	Q22378
K06A5.7	O44552
ZK637.11	P30634
F16B4.8	O44628
R05H5.2	Q21762
F43C1.1	Q09564
F58A4.9	P34476
T04C10.4	Q22156
W07G1.3	Q9XUK2
ZC416.1	H2KZH8
F22E12.2	Q19739
F21C10.7	Q19663
F21C10.12	Q8I7K6
R12C12.3	Q21957
C54A12.2	Q18816
K10C8.2	Q21413
C02B8.5	Q11095
F39B3.2	Q94219
K07E8.5	O16687
T14C1.1	Q22485
C26F1.6	G5EG36
K06C4.9	Q9GYH3
K06C4.8	Q9GYH2
C05E7.4	Q17672
C30B5.5	Q18321
F57H12.4	O45096
K06C4.17	Q95Q47
Y37E3.7	P91913
C47E8.5	Q18688
C37H5.2	P91143
Y116A8C.35	Q9U2U0
Y87G2A.3	Q9NA30
ZK792.8	Q9U1N6
F21A9.2	O01527
M106.5	P34686
R166.1	Q22002
F08B12.2	Q19189
F25D7.1	Q93561
R151.6	Q21997
Y56A3A.32	Q9U229
T21B10.5	Q22626
F28D9.1	O62185
K08H10.4	Q9XU84
C33H5.14	Q18411
R07E4.4	Q21815
Y51H4A.4	Q9NAE4
K07A12.1	P90919
R09B3.4	Q9XVK5
ZK370.2	Q02330
R13F6.9	P45896
R05D11.1	Q21733
Y54E10BL.5	Q9N3D9
T27A1.6	P90971
ZK177.10	Q09376
Y57A10A.30	P56570
C51F7.1	Q9XXK4
Y38C1AB.4	Q9N531
F32D1.1	O16299
T06E4.11	Q22265
T07D4.1	G5EFT1
C10C6.2	P90745
Y54E5A.1	G5EC63
F33D4.4	O44186
C27D6.11	Q4U220
Y38H8A.4	O62424
B0511.4	O61821
F23C8.8	Q9TXI1
F21D12.3	Q19676
F59F5.6	Q21049
F08B6.3	Q9TYS8
F14D12.5	G5EDS5
W01B11.2	O45016
K12G11.2	O17951
K12G11.1	G5EEA7
C50A2.4	O44138
F19F10.1	O01521
F19F10.5	O01519
K04G7.10	Q09584
Y40C5A.2	Q9N3Y9
F12F6.6	Q19371
F23B12.5	Q19749
T19B10.3	Q27526
H22K11.2	O76632
Y37A1C.1a	G5EFE5
B0303.11	P34261
F10E7.9	Q19301
Y18D10A.17	Q9XW17
Y104H12D.1	Q9N5A1
K06B9.1	Q21262
T10B9.1	Q27513
T10B9.7	Q27518
ZK1320.4	Q09653
C36A4.1	Q27477
T10B9.2	Q27514
T10B9.4	Q27516
K06G5.2	Q9XUT8
T10B9.5	Q27517
F14F7.3	O17807
F14F7.2	O17806
C36A4.2	Q27476
T10B9.8	Q27520
C36A4.6	Q27479
C36A4.3	Q1HB05
T10B9.10	Q27519
T10B9.3	Q27515
T27A3.7	P91501
Y43C5B.2	Q9XXE5
T03F1.3	P91427
VF36H2L.1	O45876
F53G12.3	O01795
F56C11.1	O61213
K01B6.1	P34489
F13E6.2	G5EC85
C29F7.3	O17622
F40F8.1	Q20230
C32E12.5	Q8T3B9
F40E10.2	Q20201
F09B12.5	G5EBV9
B0393.7	Q17496
B0464.7	Q03565
Y48A6B.3	Q9XXD4
D1007.15	O01863
Y45F10A.4	O62461
F42G8.6	O44510
F28H7.4	Q19892
Y57G11C.34	Q95Q11
F43E2.5	O02089
W03F9.5	O16991
K10D2.6	Q09590
C54D1.3	Q18820
Y113G7B.12	Q9NAL5
R11H6.2	O45719
C30G4.7	Q95ZX8
Y48C3A.12	Q9U290
ZC506.1	Q09641
C47E12.3	Q18679
F41E6.9	O16458
C44B7.7	Q18596
ZC155.3	Q23243
M01E11.6	P91400
C41G7.2	G5ECC0
Y55F3AM.14	Q9N360
C12D12.5	Q17922
E01B7.1	G5EBW2
F21C3.5	P52554
F52F12.4	O02273
Y82E9BR.13	Q9BKS4
R02F2.5	Q21648
Y73C8B.3	Q9N4E2
E04A4.7	P19974
ZC116.2	Q23240
F39B2.10	O45502
T05C3.5	O16303
C01G8.4	P91014
T05H4.6	O16520
C03A3.2	Q17598
Y34B4A.2	A7DT33
F20B6.3	Q19625
Y75B8A.26	Q9XW61
F57C12.4	Q20943
E03G2.2	Q19048
F21G4.2	G5EFP3
Y43F8C.12	Q9U2G5
C18C4.2	Q95QV2
C16A3.7	Q18034
R05G6.7	Q21752
K06A1.1	Q09585
F28C6.1	Q19863
F28C6.2	Q19862
ZK652.11	G5EE41
C52E12.6	Q8IG38
C33A11.1	G5EDE9
C04F12.3	G5EFS1
C01B10.8	Q17539
Y34B4A.7	Q9N470
F52F12.9	Q7YX18
F29B9.1	Q9GYH9
C17E4.11	Q564W8
T20B6.3	O02049
C16B8.1	G5EGT9
B0336.3	Q10954
W02F12.2	O45145
C27H5.1	Q18268
T09E8.3	Q22361
K02F2.3	O44985
C55B6.2	P91189
Y54E10BL.4	Q9N3E0
T14F9.1	Q22494
F52E1.10	Q20666
T04A8.4	Q22133
F53B3.3	Q20712
Y75B8A.24	Q9XW63
F18G5.3	Q19572
T07A9.7	Q9BIG5
M04C7.1	P91907
Y95B8A.5	Q9N2V6
R10H10.5	Q21917
F38E1.5	P22454
C34D1.3	Q18434
E02C12.5	P28052
ZK686.1	P34667
C44B9.5	Q18606
F58A4.8	P34475
T04H1.9	G5EF01
M110.3	Q21530
D2089.2	Q18997
C12D8.11	Q27274
K12D12.1	Q23670
ZK1127.7	G5ECQ8
Y46H3C.4	Q9N4W3
T16G1.3	Q9XUP6
F48G7.12	O44594
T16G1.4	Q9XUP7
T03G11.8	Q22125
C06H2.3	Q17765
C03F11.1	Q11122
C35A5.7	Q18475
Y54G11B.1	G5EGR5
T15B7.13	O17034
C35A11.1	O16548
ZC404.13	Q95PY1
Y48A6B.1	Q9XXD5
D1069.4	O44791
Y48C3A.11	Q9NAG1
K10G4.9	Q7YTL8
ZC404.10	Q23292
Y23H5B.4	Q9N476
H34P18.1	O76666
T15B7.11	O17029
ZC404.11	Q23293
T15B7.12	O17030
F40D4.8	Q9XV24
K04F1.2	Q9TXK9
Y56A3A.19	Q9U241
F37C12.3	Q20122
F16B4.6	O44630
Y79H2A.4	Q9U1S1
C17G1.8	Q5WRN1
T08A11.1	G5EBK0
T10H9.4	O02495
F23H12.1	Q19767
C30A5.5	P34351
T14D7.3	Q94057
T05B11.7	G4S3B4
C36E8.1	P48322
T08B2.8	Q9GYS9
M88.4	Q21602
F43G9.9	G5EFB5
D1069.2	O44788
F28H1.2	O01542
F09C3.1	O17772
F52G3.1	Q9GZI0
T20F5.2	P91477
AH10.1	O02200
F37C12.11	P49197
C10H11.1	P91041
Y41E3.8	O62437
Y48C3A.7	Q9NAG4
Y87G2A.17	Q7YWN4
ZK856.11	Q23646
F35C8.3	G5EDT6
F35C8.2	Q58AU8
F35C8.1	Q58AU7
F42G10.2	Q20347
R03G5.2	G5EDF7
C18D11.1	Q9XTZ4
Y105E8A.3	Q8WQB6
T18D3.3	Q22541
F25H2.6	Q93569
ZC373.5	Q23261
W10D9.5	O17287
K10B4.3	O17237
T07A9.10	O44412
C24A11.9	P91093
C09C7.1	G5ECB1
F42F12.2	G5EDQ9
Y48A6A.1	Q9XXD7
VF39H2L.1	O62387
F57H12.7	O45100
W06B11.1	Q23192
F08F3.3	Q22947
B0240.1	Q17463
F21D5.9	Q19686
C26E6.8	Q18217
C08B6.9	Q17820
Y39A1C.2	Q9XXE6
D2085.4	O17736
F57F4.1	Q94245
T22B7.7	Q23044
T07D3.3	O16724
K04F10.7	O44772
W04G3.4	Q23165
C24H11.3	Q9XVD5
Y73F8A.17	Q9NA55
Y40B1A.2	Q9XW28
Y17G7B.4	Q9XXJ0
Y45F10D.9	O62479
H22D07.1	O44536
F13D2.3	Q19397
F13D2.2	Q19399
ZC374.1	Q23265
Y105C5A.23	Q9U320
F17E5.2	Q19529
F43G9.3	Q93717
T22C1.4	Q22664
H20J04.5	Q9N5M2
T07H6.2	Q22329
Y105E8B.4	Q9NF14
C50C3.8	P34371
F37A4.9	P41886
C01G5.5	Q17568
C35D10.6	Q18483
ZK1290.5	Q09632
T24C12.2	Q22720
Y50D7A.6	Q965T6
C08G9.2	O44131
H02I12.1	O45599
C39D10.7	Q18529
T09F3.1	G5EDA0
C26E6.3	Q18224
K05G3.3	Q27504
R173.1	Q10462
Y51A2B.6	O45958
C44B7.9	Q18598
C44B7.8	Q18597
F58E6.10	G5EBS8
C46E10.8	O44719
B0025.2	O01422
K02B12.7	P90904
C13F10.2	O01488
K05C4.5	Q9XUU8
Y57A10A.26	Q9NA74
Y48C3A.3	Q9NAG5
C25H3.7	Q8MQC1
C54D10.2	Q18832
K01D12.11	G5EDZ7
F35E8.11	G5EE89
K01D12.12	G5EET3
C54D10.1	G5ECX9
F07C3.7	Q19151
F27C8.1	Q19834
F52H2.2	O17395
F23F1.6	O17069
B0454.6	O17167
K08H10.7	G5EEH0
F55A12.1	P91085
R09A1.1	O61931
T23D8.7	Q9XVI3
ZK1248.7	D9N120
D2030.6	P90786
ZK218.8	O46002
F58G1.1	O62275
R06C7.1	Q21770
Y110A7A.18	Q9N585
F47D12.7	Q09563
R106.2	Q23033
C43C3.2	Q09502
T02E9.1	O18014
C47E12.2	Q18683
F01G4.1	G5EF53
C52B9.8	Q22944
T22D1.10	Q9GZH2
Y73B6BL.19	Q95XD1
Y57A10A.10	Q9NA75
Y57A10A.28	Q9NA73
H21P03.1	Q9XTV4
C53D5.6	Q9N5V3
F11A10.5	Q19337
Y73F8A.1	Q9U1S7
ZK945.9	Q09624
F43D2.1	O17869
Y20F4.2	Q95XA8
T09A5.6	P45966
C05B5.3	P34291
F40G9.1	C0Z1Y7
C54D1.2	Q18821
T05A7.2	Q22205
T24H10.1	P52652
F13H8.4	Q19430
K10B4.4	O17239
C48C5.1	Q18701
F31B9.1	O62189
T27D1.3	Q09638
B0464.6	Q03564
F59H6.11	Q9N5P8
F52C6.10	O44817
F38H4.7	Q20183
W09D6.5	Q9XUJ2
W09B6.2	Q9GZI6
Y37E11AL.8	Q965Y0
C33D12.6	Q22908
T20F10.1	O45797
K08B12.5	O01583
F39B2.6	O45499
R12E2.13	O61793
C30C11.2	Q04908
F25H2.10	Q93572
F45H11.6	B0M0M9
Y39C12A.8	Q9U2L4
W01G7.4	Q9XVH5
F10C2.5	P90830
Y54E5A.5	Q9XWK2
C18B12.6	G5EEW1
K09E9.2	Q93878
Y102A11A.6	Q95XJ9
C27A2.1	Q18237
C46A5.9	G5EC23
Y50D7A.1	Q9N3K6
C54D1.6	Q18825
B0336.1	Q10953
Y48E1C.2	O62483
F25H2.13	Q93575
F33H2.1	O62217
F34D6.4	O17186
F56C3.2	O61758
F47H4.8	Q9XU29
Y73B3A.15	A3KFD4
C31C9.8	A3RMU2
F44G3.12	Q2XMY6
Y43F4B.3	G5EEU2
F47B3.2	Q9TY27
C34C12.3	Q09496
F38H4.9	G5EGK8
Y75B8A.30	Q9XW79
F40E3.5	O01550
Y38C9B.1	Q9N525
T19B10.1	G5EC97
B0331.1	O45219
Y17G9B.3	Q9N574
Y5H2B.5	Q9N4Q5
F28G4.1	O17851
H02I12.8	G5EGT6
C26F1.2	Q27472
Y80D3A.5	Q9U1R5
F01D5.9	Q9XVA6
F55A4.1	Q94241
Y73B3A.16	Q95XE7
Y47D3B.4	Q9XX05
B0238.10	O16486
C34B7.4	Q95ZX6
C37E2.4	Q93352
C37E2.5	Q93356
T27F2.1	Q22836
F44C8.8	O16354
D2092.2	P91198
F56A3.5	Q95ZL9
T10H10.1	P91443
C18D11.9	A1Z6D5
C18D11.6	Q86DA6
C05C10.3	Q09450
H15N14.2b	Q09EE7
C43H6.8	Q18590
F57C12.3	Q20941
C44C10.8	Q18612
F48D6.3	Q20561
F26F4.7	Q19818
F57F5.1	Q20950
W07B8.5	P43509
W07B8.4	O16288
C52E4.1	P25807
F32H5.1	P91991
F44C4.3	P43508
W07B8.1	O16289
F36D3.9	O45466
T10H4.12	P43507
D2030.1	P90787
T03G11.4	Q22120
W01D2.1	O62388
C54C6.1	P49622
C27H5.3	Q18265
T04H1.6	Q22179
F10E7.2	Q19307
Y70D2A.1	G5EGH5
AH9.1	Q10904
C17H11.1	P91064
F13H6.5	O16353
C50D2.2	O44798
Y45F10D.12	O45946
K02F2.2	P27604
Y69H2.14	Q8I4C0
Y108G3AL.2	Q95Y35
Y105E8A.22	Q8WQA4
F26H11.5	O45405
Y49E10.29	A3FPL3
ZK84.1	Q23635
C50C3.7	P34370
F31E3.1	P41779
F17A2.5	Q19503
C06E1.4	P34299
C05A9.2	Q17644
Y46C8AL.2	Q9N3W8
Y64G10A.2	Q9NA66
Y116A8C.9	Q9U2T2
F39B2.5	O45498
T13C2.4	Q22453
Y97E10AL.3	Q965S3
C54E4.5	Q65CM5
T12A2.2	P46975
F59A6.5	Q21025
C10H11.9	P92199
C16A3.2	Q9TY00
C24F3.2	Q9XXK8
Y54F10BM.13	Q95XK5
T10B10.7	Q22374
T09A12.3	O61220
ZK177.5	Q09660
K05D4.4	O45659
K07C6.2	O44652
Y47D3A.22	Q9U2C5
Y32G9A.6	Q9BPN3
C50B8.2	G5ECJ5
K11D12.9	O44624
C15H11.6	Q9XVS8
Y53C12A.4	O18211
T27C10.3	Q9TZM2
ZC506.3	Q09643
T27E9.5	O18143
F41D9.1	Q94222
R06B10.5	O44873
C04A2.1	Q09445
ZK1248.10	Q23419
C31E10.8	G5EEB5
B0205.3	O61742
F55A12.3	O01759
Y47D7A.3	Q95XZ3
C25B8.6	G5EET0
C02B4.2	Q17589
C03G6.10	O01446
C03G6.8	O01448
B0280.8	P41999
ZK697.2	O44577
F10B5.1	Q09533
T25B9.9	Q17761
F48F7.2	Q20574
T01B11.3	P91409
F35C8.4	Q20024
T23D5.3	O45804
T21C9.4	Q22640
F35G12.11	Q20057
F59G1.7	Q9TY03
F44E7.2	O16247
C53A3.2	O44538
K09H11.7	O01591
C45E5.1	Q18645
C13C4.4	O01926
K10B3.8	P17329
K10B3.7	P17330
T09F3.3	P04970
F33H1.2	P17331
Y47H9C.6	G5ECW5
C35A11.2	O16546
F29F11.1	Q19905
C26F1.9	P52814
F56D1.6	Q10131
Y39A1A.12	Q9XX17
C43E11.10	P91155
Y69A2AR.29	Q95XG7
T14F9.5	Q10574
ZC416.8a	P34711
F53F10.4	O01577
F11A5.3	O17788
K09A9.2	Q93874
T25G12.4	Q22782
F59B2.7	P34213
F26H9.6	P91857
Y71H2AM.12	Q9BL44
F53G12.1	O01803
Y62E10A.9	Q9U1W9
Y45F3A.2	Q9XWZ3
C54H2.5	Q18864
T02E1.7	O45731
C50B6.7	P91982
ZK1248.14	Q23424
Y49E10.1	Q9XTT9
C52E4.4	Q18787
W03A3.2	A0FLQ6
T25B9.1	Q22768
Y41C4A.10	G5ECR7
F54G8.3	Q03600
B0280.11	P42083
Y116A8C.32	G5EF97
Y116A8C.42	Q17348
B0432.6	P90987
C16C10.7	Q09463
T25G3.3	Q22792
T24H7.2	Q22758
Y57G11C.43	Q7YTI4
Y54E2A.2	Q9XWJ1
R07G3.5	Q09422
C25G6.2	Q18177
Y39E4B.4	Q9U2K6
B0563.2	Q17526
K10D2.2	Q09408
ZK863.4	Q23652
K05C4.4	Q9XUU4
C53A5.2	C8JQS4
T13H5.4	Q22469
C10G8.4	Q94162
W04G5.3	O18168
Y44A6D.1	Q9XXE3
D2024.10	Q4PIV9
Y51H4A.6	Q9U264
W05H5.2	P91839
ZK84.4	A8WFG7
AH10.4	Q9XVT8
F58B3.4	Q20969
F13B9.5	G5EFD2
Y106G6A.1	Q9XWQ5
F16F9.5	P34886
T01C8.7	P24612
C47C12.6	P24585
T28B8.5	P91835
C24G7.4	P91100
ZK945.3	Q09622
ZK1236.1	P34617
T15B7.3	O17038
R13A1.4	Q21974
Y54E10BL.6	Q10664
Y73B3B.1	Q95XD8
Y46E12BL.1	Q965N9
B0412.2	P92172
R02C2.6	Q86S44
R02C2.2	O44546
R02C2.1	O44547
Y43D4A.6	Q9NF25
T19D2.2	G5EG43
T01B11.4	G5EFU2
K01H12.2	G5EFW8
W02D3.6	O01813
F25B4.7	P91270
R07E3.4	Q21809
F55A12.7	O01755
F38E11.5	Q20168
E03H4.8	O17742
Y41C4A.11	Q9XWU3
R10H10.6	Q21918
T10B11.1	Q9TZH6
W06D4.6	G5EEN6
K04G2.2	Q21221
Y56A3A.13	O76463
Y110A7A.4	Q9N588
Y49F6B.1	Q9N4U0
F32E10.4	Q19969
W03C9.3	Q23146
F36H9.3	O16619
F02C12.2	Q19108
F09B9.3	P48583
C28H8.4	Q09473
C28H8.1	Q09242
F33H1.3	Q09556
Y47H9C.7	Q9XWD5
C03H5.2	O16658
K06H6.3	O17106
ZK370.7	Q02334
F44C8.7	G5EBK5
ZC250.3	O01879
Y87G2A.4	G5EBS5
ZK632.12	P34657
C02F12.4	Q11100
R151.8	Q21999
C09G5.5	Q09456
F55A12.10	Q95R14
D1081.9	Q9U3L0
Y39B6A.16	Q8MYP1
R04A9.2	Q21691
Y49F6A.1	Q9N3L7
K12B6.1	O16386
C16C10.3	Q09249
C04F12.1	Q9XVF1
T22H9.3	Q9TXN7
F53H8.1	Q20736
W09C5.1	G5EFH0
Y102A5C.18	G5EF11
R04F11.2	Q21732
F26C11.2	P29506
CD4.4	O44158
F39B2.1	O45494
C33A11.2	Q93319
F11E6.6	Q9U3J7
W03A5.2	Q23135
W02B12.10	Q23126
F20D6.11	Q19655
Y37A1B.13	Q9XXG5
Y37A1B.12	O45271
B0511.10	O61820
F59D6.7	O16343
ZK856.8	Q23643
Y71H2AL.1	Q9N2Y1
F07A11.5	Q19133
F46A9.5	G5ECU1
F46A9.4	G5EDD8
F47H4.10	Q9XU27
Y60A3A.18	Q9U1Y9
F44G3.6	G5EE67
Y47D7A.8	Q9N3U9
Y47D7A.1	G5EDY3
C52D10.7	G5EFA9
C52D10.6	G5EGD5
Y37H2C.2	Q9U2N1
Y105C5B.13	G5EG39
C06A8.4	G5EGN7
C52D10.9	G5ECY4
R12H7.5	G5EE98
C42D4.6	Q18567
C52D10.8	G5EEX4
F54D10.1	G5EE88
K08H2.1	Q21367
R12H7.3	G5EC92
F56B3.12	Q8WSN2
C29F7.2	O17621
C29F7.1	O17620
K11B4.1	G5ECC9
Y77E11A.4	Q9N4B5
F32A11.2	G5EGG2
K07E3.3	Q21285
F10G7.4	Q19325
K08A8.3	Q21306
R148.2	O17268
F54H12.6	P34460
VF11C1L.1	G5ED98
R160.7	Q9TZD0
ZK550.4	G5EG49
F34D10.2	Q7JMR0
F34D10.9	G5EBL1
Y54E10BR.5	Q9N3D0
K12C11.2	P55853
C12C8.1	O45246
F44E5.5	G5ECU5
F44E5.4	G5ECU5
F26D10.3	P09446
